"A","Bilanca odhodkov","9013907176 8993487746 99,77",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","63991449 61909884 96,75",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","2692831 2248894 83,51",""
"1111","Predsednik Republike Slovenije","2692831 2248894 83,51",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2692831 2248894 83,51",""
"1201","Institucije političnega sistema","2692831 2248894 83,51",""
"120101","Dejavnost političnih institucij","2692831 2248894 83,51",""
"12010101","Delovanje UPRS in podpora izvrševanju funkcije predsednika republike in bivšega predsednika republike","2692831 2248894 83,51",""
"121","DRŽAVNI ZBOR","26348516 24127685 91,57",""
"1211","Državni zbor","26348516 24127685 91,57",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","26348516 24127685 91,57",""
"1201","Institucije političnega sistema","26348516 24127685 91,57",""
"120101","Dejavnost političnih institucij","26348516 24127685 91,57",""
"12010105","Dejavnost Državnega zbora","26348516 24127685 91,57",""
"122","DRŽAVNI SVET","1966510 1984752 100,93",""
"1212","Državni svet","1966510 1984752 100,93",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1966510 1984752 100,93",""
"1201","Institucije političnega sistema","1966510 1984752 100,93",""
"120101","Dejavnost političnih institucij","1966510 1984752 100,93",""
"12010103","Dejavnost Državnega sveta Republike Slovenije","1966510 1984752 100,93",""
"123","DRŽAVNA VOLILNA KOMISIJA","11023000 11001827 99,81",""
"1213","Državna volilna komisija","11023000 11001827 99,81",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","11023000 11001827 99,81",""
"1201","Institucije političnega sistema","11023000 11001827 99,81",""
"120101","Dejavnost političnih institucij","11023000 11001827 99,81",""
"12010104","Izvedba volitev in referendumov","11023000 11001827 99,81",""
"124","VARUH ČLOVEKOVIH PRAVIC","2030000 2037407 100,36",""
"1214","Varuh človekovih pravic","2030000 2037407 100,36",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2030000 2037407 100,36",""
"1201","Institucije političnega sistema","2030000 2037407 100,36",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","2030000 2037407 100,36",""
"12010302","Varovanje človekovih pravic","2030000 2037407 100,36",""
"125","INFORMACIJSKI POOBLAŠČENEC","1396801 1610086 115,27",""
"1215","Informacijski pooblaščenec","1396801 1610086 115,27",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1396801 1610086 115,27",""
"1201","Institucije političnega sistema","1396801 1610086 115,27",""
"120102","Dejavnost institucij nadzora pravne države","1396801 1610086 115,27",""
"12010204","Dejavnost Informacijskega pooblaščenca","1396801 1610086 115,27",""
"127","NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU","1045576 1295458 123,90",""
"1217","Nacionalna agencija RS za kakovost v visokem šolstvu","1045576 1295458 123,90",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","1045576 1295458 123,90",""
"0201","Visoko šolstvo","1045576 1295458 123,90",""
"020101","Visokošolsko izobraževanje","1045576 1295458 123,90",""
"02010105","Kakovost visokega šolstva","1045576 1295458 123,90",""
"131","USTAVNO SODIŠČE","4211781 4141346 98,33",""
"1311","Ustavno sodišče","4211781 4141346 98,33",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4211781 4141346 98,33",""
"1201","Institucije političnega sistema","4211781 4141346 98,33",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","4211781 4141346 98,33",""
"12010301","Varstvo ustavnosti in zakonitosti","4211781 4141346 98,33",""
"132","RAČUNSKO SODIŠČE","5574807 5598540 100,43",""
"1312","Računsko sodišče","5574807 5598540 100,43",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","5574807 5598540 100,43",""
"1201","Institucije političnega sistema","5574807 5598540 100,43",""
"120102","Dejavnost institucij nadzora pravne države","5574807 5598540 100,43",""
"12010201","Dejavnost računskega sodišča","5574807 5598540 100,43",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1090059 1127394 103,43",""
"1314","Državna revizijska komisija","1090059 1127394 103,43",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1090059 1127394 103,43",""
"1201","Institucije političnega sistema","1090059 1127394 103,43",""
"120102","Dejavnost institucij nadzora pravne države","1090059 1127394 103,43",""
